signal_id,lp_max_idx,lp_max,lp_mean,lp_std
0,729013,18.47243895743736,-0.960271249999861,13.72243738221459
1,194437,18.09385315694081,-0.19412499999998287,12.898207926819891
2,458579,19.115747268706397,-0.04355499999996431,13.549635763077967
3,305089,18.23436123373307,-0.9974012499999168,13.605428060998296
4,571657,18.025164167137348,-0.17558625000002293,12.870360001559591
5,35476,19.037108320007576,-0.03600374999987874,13.470792332235112
6,481442,18.582778071551765,-1.1461850000001188,13.951553553108132
7,746269,18.84538704772399,-1.9526950000000256,14.688630596521726
8,207762,21.72211416016086,0.873370000000385,14.7312909262439
9,282296,20.310881927946166,-1.3596337499997957,15.339491322516048
10,540918,21.824516185707324,0.7285087499996609,14.920888192562535
11,10889,21.18741238387762,-0.8170650000000204,15.553791847643184
12,194631,18.3445877909898,-1.011067499999767,13.674902668415609
13,458816,18.060664380887413,-0.15313250000009931,12.887693100696525
14,722808,18.997590995821017,-0.030228750000056308,13.47208754677322
15,555711,17.75646426425465,-1.0101037499998593,13.257958029338866
16,19917,17.696815434679475,-0.17202624999995056,12.626091274173994
17,283989,18.682919716741647,-0.03422125000011439,13.229414791297936
18,774016,18.71929311480648,-1.0711437499998997,13.980718093082038
19,238949,18.964815440759477,-1.936464999999952,14.778016777330524
20,500943,21.939871314859506,0.8952425000000326,14.8871332051135
21,567382,20.207807717835347,-1.3705725000002675,15.261357878587226
22,25172,21.86987365335221,0.7141737499999575,14.957245045603326
23,295607,21.169781667658476,-0.7969300000000024,15.530263246584322
24,449384,18.108999769056663,-0.9775249999999972,13.49812392112296
25,713246,17.787968525423178,-0.18999625000008485,12.689802720566151
26,177557,18.770591195438048,-0.04700125000005366,13.294223523274413
27,342875,18.199839477949286,-0.9685599999998096,13.544356064479626
28,607676,17.903207692439,-0.1808087499999359,12.768787420824234
29,71595,18.800508164029864,-0.06129874999986998,13.314164053846971
30,735388,18.765025553148426,-1.0392262500001892,14.012831516930015
31,201713,18.824373369110244,-1.9414324999997647,14.676748017336294
32,463303,21.974189119463574,0.8531525000000431,14.907034260550832
33,626455,19.668474295351146,-1.1321349999998032,14.806066911580274
34,92859,19.389262422056838,-1.9909875000000727,15.04190490705566
35,350982,22.42391581924673,0.8637962500001991,15.110110622672256
36,132449,18.129319352529727,-1.0209624999998737,13.511197631193225
37,397329,17.75854708417221,-0.14804499999991494,12.610430133042518
38,661309,18.94890925637406,-0.050616249999994346,13.401677316581265
39,118315,18.086470864627024,-0.9943687499998916,13.499664717680318
40,381902,17.834226234549657,-0.1963325000001401,12.732711921408196
41,646209,18.830746529676876,-0.017025000000171524,13.336936899871366
42,468689,18.134346561206886,-0.9934724999999948,13.516387679078875
43,731542,17.89135524871352,-0.18041750000005172,12.78755998730761
44,196891,18.88983307565964,-0.03067624999966726,13.392846184041947
45,237866,20.300198978549755,-0.10536000000007488,14.285117762640336
46,773771,17.439428219904478,-1.3429462500000982,13.014938428919413
47,510466,19.100316338958066,-1.5309162500001712,14.477870219494012
48,584845,18.196596647135507,-0.9892437499999691,13.563544006794405
49,49383,17.747958780733203,-0.21260625000008254,12.678251422287063
50,314352,18.878707813335875,-0.013931249999918656,13.36024674466661
51,708749,19.73024152081094,-1.0587424999997521,14.693879952667785
52,173586,19.21725846749566,-1.9378575000000675,14.957758364947278
53,435857,22.934615086036025,0.879416250000014,15.596213465579606
54,327348,19.255954204239426,-1.009691249999892,14.306207516148513
55,592360,19.07179661382276,-0.18374999999974756,13.59449015501536
56,56287,20.357096016006285,-0.00758375000003446,14.403398836025946
57,463170,18.547146150713186,-1.1654599999998891,13.95489456867483
58,727761,18.770008431431464,-1.955325000000132,14.631170868710814
59,189269,21.75685026919089,0.8747187500001289,14.758660313155026
60,221494,18.733822353644708,-1.0564825000000724,13.985175851020735
61,486217,18.882585766267056,-1.9292612499999844,14.714728895438304
62,747961,21.864713926437176,0.8795225000000448,14.815913114116402
63,589263,20.928315753382627,-1.3638187499999872,15.753406862751973
64,48843,22.505355672172037,0.7267837499999952,15.399269082287425
65,317821,21.60854657237939,-0.800831249999879,15.828210509539936
66,486994,18.088404066365694,-0.9977699999999964,13.49164401188472
67,753487,17.68893118075763,-0.192111249999993,12.637104939580754
68,217310,18.898256825627534,-0.025471250000205687,13.368601639358976
69,620150,18.05429224466721,-1.014121250000125,13.446406321852935
70,86969,17.677719779541444,-0.196676250000026,12.610131666088295
71,350866,18.93975448927912,-0.0021874999999068434,13.357892921337516
72,290018,21.533981157325087,0.011737500000379215,15.238420716192325
73,28248,17.878963134700815,-1.500072500000024,13.703257332859035
74,560955,19.383568280478176,-1.4371124999995353,14.727829645858025
75,120777,20.264171589092623,-1.359530000000159,15.30049626092787
76,379241,21.811079595733986,0.7021849999999981,14.918751424943087
77,649706,21.28626652045553,-0.7852187499998868,15.612299797224145
78,675197,21.55475496593563,-1.3646912500002657,16.198403019919347
